project_id,sprint_id,velocity
1,1,61
1,2,55
1,3,64
1,4,56
1,5,32
2,1,51
2,2,57
2,3,61
2,4,51
2,5,77
3,1,37
3,2,29
3,3,27
3,4,56
3,5,28
4,1,26
4,2,32
4,3,29
4,4,33
4,5,30
5,1,59
5,2,61
5,3,49
5,4,63
5,5,64
6,1,56
6,2,42
6,3,55
6,4,46
6,5,40
7,1,41
7,2,63
7,3,73
7,4,29
7,5,55
8,1,56
8,2,58
8,3,57
8,4,67
8,5,58
9,1,39
9,2,32
9,3,36
9,4,26
9,5,30
10,1,46
10,2,46
10,3,28
10,4,13
10,5,44
11,1,43
11,2,5
11,3,20
11,4,32
11,5,19
12,1,45
12,2,38
12,3,47
12,4,51
12,5,61
13,1,42
13,2,40
13,3,40
13,4,34
13,5,44
14,1,36
14,2,59
14,3,45
14,4,49
14,5,37
15,1,39
15,2,42
15,3,27
15,4,33
15,5,27
16,1,31
16,2,39
16,3,56
16,4,55
16,5,34
17,1,20
17,2,32
17,3,23
17,4,15
17,5,37
18,1,53
18,2,41
18,3,43
18,4,56
18,5,74
19,1,38
19,2,50
19,3,52
19,4,33
19,5,46
20,1,67
20,2,50
20,3,57
20,4,47
20,5,53
21,1,16
21,2,21
21,3,11
21,4,12
21,5,17
22,1,9
22,2,30
22,3,11
22,4,17
22,5,29
23,1,55
23,2,45
23,3,63
23,4,57
23,5,62
24,1,44
24,2,45
24,3,53
24,4,73
24,5,71
25,1,22
25,2,15
25,3,30
25,4,30
25,5,16
26,1,29
26,2,5
26,3,23
26,4,14
26,5,32
27,1,42
27,2,49
27,3,66
27,4,71
27,5,64
28,1,57
28,2,45
28,3,39
28,4,48
28,5,62
29,1,5
29,2,46
29,3,23
29,4,45
29,5,14
30,1,31
30,2,20
30,3,20
30,4,40
30,5,45
31,1,16
31,2,16
31,3,18
31,4,12
31,5,12
32,1,31
32,2,34
32,3,55
32,4,39
32,5,43
33,1,19
33,2,32
33,3,31
33,4,26
33,5,17
34,1,24
34,2,25
34,3,27
34,4,37
34,5,30
35,1,42
35,2,49
35,3,50
35,4,69
35,5,49
36,1,60
36,2,58
36,3,65
36,4,51
36,5,46
37,1,57
37,2,42
37,3,34
37,4,33
37,5,38
38,1,44
38,2,62
38,3,47
38,4,51
38,5,62
39,1,23
39,2,41
39,3,61
39,4,35
39,5,47
40,1,40
40,2,37
40,3,30
40,4,49
40,5,47
41,1,32
41,2,64
41,3,38
41,4,56
41,5,27
42,1,24
42,2,26
42,3,20
42,4,34
42,5,23
43,1,32
43,2,42
43,3,40
43,4,58
43,5,41
44,1,26
44,2,51
44,3,64
44,4,48
44,5,51
45,1,50
45,2,62
45,3,58
45,4,49
45,5,61
46,1,54
46,2,59
46,3,42
46,4,51
46,5,65
47,1,41
47,2,36
47,3,39
47,4,39
47,5,39
48,1,41
48,2,44
48,3,36
48,4,36
48,5,39
49,1,42
49,2,46
49,3,26
49,4,42
49,5,42
50,1,25
50,2,59
50,3,32
50,4,26
50,5,59
51,1,46
51,2,51
51,3,60
51,4,45
51,5,34
52,1,47
52,2,33
52,3,41
52,4,39
52,5,46
53,1,41
53,2,69
53,3,59
53,4,50
53,5,47
54,1,39
54,2,37
54,3,55
54,4,25
54,5,49
55,1,36
55,2,23
55,3,38
55,4,16
55,5,32
56,1,38
56,2,26
56,3,40
56,4,42
56,5,36
57,1,20
57,2,18
57,3,20
57,4,17
57,5,36
58,1,43
58,2,48
58,3,60
58,4,29
58,5,26
59,1,42
59,2,38
59,3,41
59,4,28
59,5,25
60,1,43
60,2,39
60,3,36
60,4,50
60,5,70
61,1,29
61,2,32
61,3,12
61,4,15
61,5,24
62,1,43
62,2,37
62,3,49
62,4,64
62,5,65
63,1,28
63,2,37
63,3,49
63,4,15
63,5,33
64,1,54
64,2,57
64,3,37
64,4,38
64,5,66
65,1,28
65,2,31
65,3,47
65,4,27
65,5,29
66,1,47
66,2,33
66,3,25
66,4,36
66,5,33
67,1,27
67,2,32
67,3,36
67,4,24
67,5,43
68,1,22
68,2,5
68,3,29
68,4,33
68,5,5
69,1,50
69,2,16
69,3,32
69,4,36
69,5,26
70,1,15
70,2,33
70,3,24
70,4,21
70,5,33
71,1,36
71,2,41
71,3,43
71,4,39
71,5,31
72,1,27
72,2,33
72,3,57
72,4,44
72,5,31
73,1,42
73,2,44
73,3,24
73,4,8
73,5,48
74,1,53
74,2,76
74,3,39
74,4,66
74,5,46
75,1,42
75,2,31
75,3,49
75,4,33
75,5,29
76,1,33
76,2,29
76,3,28
76,4,18
76,5,26
77,1,27
77,2,41
77,3,61
77,4,27
77,5,41
78,1,52
78,2,47
78,3,49
78,4,25
78,5,62
79,1,30
79,2,37
79,3,18
79,4,39
79,5,23
80,1,5
80,2,17
80,3,31
80,4,31
80,5,35
81,1,49
81,2,8
81,3,38
81,4,38
81,5,29
82,1,38
82,2,25
82,3,24
82,4,29
82,5,56
83,1,35
83,2,62
83,3,49
83,4,65
83,5,53
84,1,44
84,2,40
84,3,23
84,4,39
84,5,46
85,1,49
85,2,48
85,3,34
85,4,51
85,5,43
86,1,34
86,2,42
86,3,48
86,4,42
86,5,28
87,1,44
87,2,26
87,3,21
87,4,33
87,5,33
88,1,18
88,2,5
88,3,22
88,4,17
88,5,50
89,1,5
89,2,21
89,3,20
89,4,33
89,5,34
90,1,41
90,2,19
90,3,38
90,4,41
90,5,30
91,1,24
91,2,33
91,3,36
91,4,36
91,5,18
92,1,44
92,2,40
92,3,20
92,4,31
92,5,45
93,1,30
93,2,23
93,3,48
93,4,27
93,5,21
94,1,46
94,2,44
94,3,39
94,4,37
94,5,62
95,1,53
95,2,65
95,3,39
95,4,54
95,5,58
96,1,62
96,2,57
