project_id,completed_tasks,total_tasks
1,137,170
2,52,70
3,150,161
4,107,109
5,70,133
6,133,195
7,41,108
8,25,77
9,90,112
10,81,135
11,126,217
12,110,155
13,108,185
14,124,181
15,48,97
16,93,184
17,170,176
18,119,192
19,74,97
20,169,199
21,117,187
22,184,235
23,107,117
24,26,26
25,52,98
26,41,137
27,196,271
28,21,27
29,153,248
30,120,209
31,105,109
32,37,119
33,70,122
34,111,182
35,126,180
36,94,109
37,112,121
38,165,209
39,97,132
40,164,220
41,42,51
42,157,193
43,31,113
44,187,226
45,124,205
46,43,116
47,54,140
48,96,165
49,159,243
50,81,158
51,196,253
52,134,185
53,78,175
54,50,110
55,185,200
56,162,164
57,175,186
58,179,215
59,38,59
60,102,169
61,143,229
62,158,242
63,183,221
64,62,154
65,171,191
66,70,133
67,79,143
68,103,118
69,167,236
70,70,78
71,142,169
72,125,208
73,75,84
74,158,207
75,114,204
76,184,280
77,84,103
78,174,247
79,127,202
80,194,238
81,62,74
82,164,249
83,21,106
84,95,146
85,103,194
86,195,234
87,165,192
88,145,229
89,55,63
90,124,219
91,144,158
92,42,100
93,97,102
94,150,184
95,97,130
96,147,211
97,113,119
98,54,97
99,37,75
100,36,87
101,51,123
102,30,32
103,115,160
104,132,180
105,120,173
106,159,224
107,104,134
108,187,236
109,80,152
110,49,133
111,64,97
112,188,196
113,164,221
114,145,148
115,117,210
116,39,100
117,62,86
118,124,181
119,105,201
120,42,80
121,167,185
122,179,266
123,58,112
124,106,119
125,113,164
126,170,170
127,76,111
128,81,142
129,45,136
130,74,99
131,199,199
132,64,161
133,170,248
134,23,49
135,39,115
136,22,80
137,197,198
138,43,107
139,118,134
140,101,145
141,123,195
142,157,185
143,153,220
144,91,97
145,178,228
146,64,154
147,56,85
148,72,96
149,50,117
150,31,100
151,98,141
152,148,244
153,42,102
154,88,159
155,134,225
156,27,111
157,173,263
158,66,115
159,199,275
160,156,227
161,128,210
162,23,98
163,102,193
164,20,43
165,150,222
166,66,160
167,82,85
168,120,138
169,81,136
170,130,195
171,161,243
172,86,104
173,154,158
174,76,133
175,121,164
176,123,170
177,163,233
178,192,210
179,192,279
180,102,122
181,137,172
182,44,79
183,136,204
184,117,214
185,41,132
186,63,108
187,39,65
188,174,258
189,81,129
190,155,209
191,75,129
192,45,136
193,103,164
194,177,238
195,157,171
196,63,87
197,77,163
198,71,85
199,163,223
200,115,188
201,120,196
202,25,100
203,47,47
204,80,140
205,92,165
206,59,81
207,40,64
208,186,241
209,29,110
210,193,254
211,193,231
212,56,81
213,59,124
214,44,101
215,74,160
216,186,282
217,37,125
218,180,222
219,185,203
220,129,144
221,144,185
222,182,213
223,54,136
224,107,163
225,133,155
226,98,120
227,166,240
228,96,131
229,185,185
230,85,138
231,174,178
232,162,248
233,55,101
234,72,165
235,175,251
236,91,189
237,85,98
238,180,235
239,113,172
240,128,207
241,166,233
242,95,121
243,169,221
244,159,228
245,99,119
246,58,98
247,71,164
248,100,103
249,116,146
250,94,151
251,152,234
252,57,120
253,172,184
254,143,241
255,103,106
256,37,103
257,47,132
258,73,124
259,44,54
260,116,168
261,54,91
262,97,99
263,26,122
264,120,203
265,116,174
266,31,75
267,189,283
268,187,268
269,37,118
270,146,188
271,35,122
272,84,157
273,54,135
274,114,213
275,75,95
276,159,233
277,120,158
278,117,204
279,146,236
280,91,120
281,156,171
282,26,90
283,55,69
284,97,192
285,191,198
286,182,208
287,172,253
288,119,163
289,95,103
290,155,203
291,146,233
292,174,261
293,130,132
294,51,117
295,26,96
296,120,181
297,81,117
298,73,101
299,134,196
300,191,264
301,69,104
302,144,178
303,53,121
304,173,209
305,70,91
306,68,106
307,36,96
308,97,135
309,91,171
310,106,199
311,126,152
312,85,100
313,135,180
314,114,134
315,169,188
316,133,143
317,116,116
318,111,177
319,120,208
320,171,261
321,44,142
322,178,196
323,59,78
324,117,173
325,117,140
326,20,23
327,70,113
328,83,143
329,46,121
330,102,160
331,192,283
332,108,176
333,46,138
334,25,80
335,130,168
336,135,136
337,197,283
338,63,96
339,190,211
340,53,113
341,55,112
342,86,156
343,48,113
344,55,79
345,100,107
346,69,165
347,103,103
348,43,107
349,104,152
350,116,136
351,26,55
352,176,260
353,37,111
354,93,192
355,99,190
356,181,238
357,164,165
358,110,128
359,135,146
360,177,250
361,168,216
362,76,132
363,189,243
364,159,240
365,39,57
366,174,220
367,81,157
368,58,114
369,147,245
370,194,275
371,82,83
372,173,218
373,125,127
374,176,233
375,86,87
376,105,140
377,44,100
378,146,227
379,155,200
380,136,215
381,127,187
382,177,245
383,52,144
384,98,139
385,90,103
386,24,68
387,55,67
388,36,86
389,59,90
390,166,212
391,150,162
392,152,190
393,132,151
394,177,232
395,158,231
396,70,159
397,130,211
398,56,93
399,33,67
400,124,218
401,27,96
402,49,89
403,108,136
404,48,101
405,194,275
406,95,150
407,90,170
408,191,275
409,122,196
410,108,198
411,171,249
412,31,66
413,102,140
414,90,118
415,124,215
416,46,78
417,71,112
418,142,234
419,197,266
420,198,247
421,154,252
422,133,224
423,93,113
424,193,267
425,49,148
